|   |----------------------------------------------------|   |
| o | Nome: Roberto Chefe                  R$   14000,00 | o |
|   |----------------------------------------------------|   |
| o | Nome:  Joana Comissionada            R$    2400,00 | o |
|   |----------------------------------------------------|   |
| o | Nome:  Paulo Comiisionado            R$    2806,00 | o |
|   |----------------------------------------------------|   |
| o | Nome:  Maria Comissionada            R$    3125,00 | o |
|   |----------------------------------------------------|   |
| o | Nome:  João Horista                  R$    5035,00 | o |
|   |----------------------------------------------------|   |
| o | Nome:  Jose Horista                  R$    6057,00 | o |
|   |----------------------------------------------------|   |
| o | Nome:  Pedro Empreiteiro             R$    3500,00 | o |
|   |----------------------------------------------------|   |
| o | Nome:  Ana Empreiteira               R$    4250,00 | o |
|   |----------------------------------------------------|   |
| o | Nome: Chefe Mais Novo                R$    7846,20 | o |
|   |----------------------------------------------------|   |
| o | Nome: Mais Um Comissionado           R$    3960,00 | o |
